出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","104","1","1101","台泥","92471096.00","197311739.00","289782835.00","69579858.00","57983520.00","127563378.00","36921759.00","12225234.00","50339005.00","18821699.00","--","118307697.00","--","--","43911760.00","162219457.00","--","0.00","0.00","32.04"
"114/03/26","104","1","1102","亞泥","75530943.00","212096147.00","287627090.00","67410775.00","52981529.00","120392304.00","33614472.00","1073920.00","96348507.00","16468033.00","--","147504932.00","--","--","19729854.00","167234786.00","0.00","0.00","0.00","43.88"
"114/03/26","104","1","1103","嘉泥","12473368.00","20103882.00","32577250.00","3618876.00","10309882.00","13928758.00","7768285.00","570096.00","8202652.00","1340053.00","-1149426.00","16731660.00","--","--","1916832.00","18648492.00","--","0.00","131226016.00","25.92"
"114/03/26","104","1","1104","環泥","2398494.00","17313460.00","19711954.00","2089370.00","1516837.00","3606207.00","6159697.00","28999.00","8248134.00","1514718.00","--","15951548.00","--","--","154199.00","16105747.00","--","0.00","0.00","25.90"
"114/03/26","104","1","1108","幸福","5442970.00","2765216.00","8208186.00","2135953.00","1300489.00","3436442.00","4047380.00","0.00","665288.00","29700.00","0.00","4742368.00","--","--","29376.00","4771744.00","--","0.00","0.00","11.72"
"114/03/26","104","1","1109","信大","2621817.00","6443209.00","9065026.00","759736.00","1297674.00","2057410.00","4210008.00","22299.00","1579272.00","149762.00","0.00","5961341.00","--","--","1046275.00","7007616.00","0.00","0.00","0.00","14.16"
"114/03/26","104","1","1110","東泥","1903486.00","7747273.00","9650759.00","245828.00","449739.00","695567.00","5720008.00","184916.00","2019536.00","1008307.00","-12185.00","8920582.00","--","--","34610.00","8955192.00","0.00","0.00","2112865.00","15.65"
"114/03/26","104","1","1201","味全","21266850.00","17297297.00","38564147.00","22256155.00","5618731.00","27874886.00","5060629.00","688.00","2189161.00","262641.00","--","7513119.00","--","--","3176142.00","10689261.00","0.00","0.00","0.00","14.85"
"114/03/26","104","1","1203","味王","3449135.00","4849834.00","8298969.00","1224993.00","1721095.00","2946088.00","2400000.00","112965.00","1779217.00","159448.00","-38464.00","4413166.00","--","--","939715.00","5352881.00","0.00","0.00","2293865.00","18.57"
"114/03/26","104","1","1210","大成","22276990.00","19200339.00","41477329.00","16336217.00","5019116.00","21355333.00","7363944.00","2377966.00","3150312.00","1557414.00","-306199.00","14143437.00","--","--","5978559.00","20121996.00","0.00","0.00","52894691.00","20.69"
"114/03/26","104","1","1213","大飲","421838.00","422077.00","843915.00","132679.00","37901.00","170580.00","514751.00","21938.00","136945.00","-299.00","--","673335.00","--","--","--","673335.00","0.00","0.00","0.00","13.08"
"114/03/26","104","1","1215","卜蜂","4480217.00","4880958.00","9361175.00","3350048.00","793214.00","4143262.00","2436282.00","967.00","1495471.00","1187197.00","--","5119917.00","--","--","97996.00","5217913.00","0.00","0.00","0.00","21.02"
"114/03/26","104","1","1216","統一","145993261.00","261748917.00","407742178.00","149028678.00","102583362.00","251612040.00","54634763.00","3927935.00","33249329.00","3919354.00","--","95731381.00","--","--","60398757.00","156130138.00","0.00","0.00","0.00","17.52"
"114/03/26","104","1","1217","愛之味","3018102.00","10622283.00","13640385.00","3417274.00","4037119.00","7454393.00","4872053.00","315295.00","125649.00","-63058.00","0.00","5249939.00","--","--","936053.00","6185992.00","0.00","0.00","0.00","10.78"
"114/03/26","104","1","1218","泰山","2689969.00","5058031.00","7748000.00","2584334.00","1825862.00","4410196.00","3533360.00","23770.00","-9289.00","-10984.00","-203876.00","3332981.00","0.00","--","4823.00","3337804.00","0.00","0.00","13680042.00","9.81"
"114/03/26","104","1","1219","福壽","3599235.00","2929631.00","6528866.00","1287003.00","1283972.00","2570975.00","3131882.00","36696.00","637508.00","2534.00","--","3808620.00","--","--","149271.00","3957891.00","0.00","0.00","0.00","12.16"
"114/03/26","104","1","1220","台榮","1914718.00","1100648.00","3015366.00","503817.00","290356.00","794173.00","1770779.00","537.00","386398.00","-53809.00","0.00","2103905.00","--","--","117288.00","2221193.00","--","0.00","0.00","11.88"
"114/03/26","104","1","1225","福懋油","3084281.00","3015269.00","6099550.00","1689274.00","1446938.00","3136212.00","2187030.00","121015.00","336745.00","11828.00","--","2656618.00","--","--","306720.00","2963338.00","0.00","0.00","0.00","12.15"
"114/03/26","104","1","1227","佳格","13805691.00","4622536.00","18428227.00","5047869.00","417190.00","5465059.00","7206338.00","51331.00","5144558.00","427671.00","-21182.00","12808716.00","--","--","154452.00","12963168.00","0.00","0.00","5252215.00","17.90"
"114/03/26","104","1","1229","聯華","2725803.00","22984151.00","25709954.00","2560025.00","1632391.00","4192416.00","8545383.00","707412.00","9083490.00","3124504.00","-2393.00","21458396.00","--","--","59142.00","21517538.00","--","0.00","94000.00","25.11"
"114/03/26","104","1","1231","聯華食","2924556.00","3404736.00","6329292.00","1888872.00","1734458.00","3623330.00","1481131.00","72435.00","1087161.00","49510.00","--","2690237.00","0.00","--","15725.00","2705962.00","0.00","0.00","0.00","18.16"
"114/03/26","104","1","1232","大統益","4233042.00","590521.00","4823563.00","904354.00","98198.00","1002552.00","1599749.00","23784.00","2156173.00","0.00","--","3779706.00","--","--","41305.00","3821011.00","0.00","0.00","0.00","23.63"
"114/03/26","104","1","1233","天仁","736560.00","1212006.00","1948566.00","315015.00","125742.00","440757.00","905919.00","56075.00","574683.00","-42035.00","-2754.00","1491888.00","--","--","15921.00","1507809.00","0.00","0.00","60000.00","16.48"
"114/03/26","104","1","1234","黑松","6921347.00","14726127.00","21647474.00","1458875.00","2676114.00","4134989.00","4018711.00","184583.00","13165814.00","143377.00","0.00","17512485.00","--","--","0.00","17512485.00","0.00","0.00","0.00","43.58"
"114/03/26","104","1","1235","興泰","1860811.00","639718.00","2500529.00","1146682.00","63843.00","1210525.00","561688.00","41515.00","230223.00","466390.00","-9953.00","1289863.00","0.00","--","141.00","1290004.00","--","0.00","1831610.00","23.74"
"114/03/26","104","1","1236","宏亞","801752.00","2303489.00","3105241.00","578981.00","636765.00","1215746.00","1083425.00","33396.00","535396.00","237278.00","0.00","1889495.00","--","--","0.00","1889495.00","0.00","0.00","0.00","17.44"
"114/03/26","104","1","1256","鮮活果汁-KY","961044.00","551850.00","1512894.00","580010.00","71034.00","651044.00","246960.00","60109.00","503724.00","48038.00","--","858831.00","--","--","3019.00","861850.00","0.00","0.00","0.00","34.78"
"114/03/26","104","1","1301","台塑","164776956.00","270730623.00","435507579.00","48174386.00","95664547.00","143838933.00","63657408.00","11277971.00","132127349.00","84605918.00","--","291668646.00","--","--","--","291668646.00","0.00","0.00","0.00","45.82"
"114/03/26","104","1","1303","南亞","217272281.00","315914528.00","533186809.00","71274790.00","124690682.00","195965472.00","79308216.00","23158501.00","161677979.00","58530973.00","0.00","322675669.00","--","--","14545668.00","337221337.00","--","0.00","0.00","40.69"
"114/03/26","104","1","1304","台聚","32728769.00","26483655.00","59212424.00","15445696.00","12439056.00","27884752.00","11426024.00","183043.00","5758989.00","474662.00","-475606.00","17367112.00","--","--","13960560.00","31327672.00","--","0.00","111943075.00","16.85"
"114/03/26","104","1","1305","華夏","5691336.00","5958531.00","11649867.00","2564062.00","2852069.00","5416131.00","4683034.00","8225.00","1225233.00","44141.00","0.00","5960633.00","0.00","--","273103.00","6233736.00","0.00","0.00","0.00","12.73"
"114/03/26","104","1","1307","三芳","7630382.00","6170915.00","13801297.00","3044728.00","2741286.00","5786014.00","3749817.00","137866.00","3883088.00","244512.00","--","8015283.00","--","--","--","8015283.00","--","0.00","0.00","21.38"
"114/03/26","104","1","1308","亞聚","2702146.00","7203637.00","9905783.00","522765.00","349838.00","872603.00","4696769.00","14116.00","3877378.00","444917.00","0.00","9033180.00","--","--","0.00","9033180.00","0.00","0.00","0.00","19.23"
"114/03/26","104","1","1309","台達化","6608662.00","3671691.00","10280353.00","4671172.00","2103621.00","6774793.00","3276518.00","473.00","-33226.00","261795.00","--","3505560.00","--","--","--","3505560.00","0.00","0.00","0.00","10.70"
"114/03/26","104","1","1310","台苯","3445509.00","6535066.00","9980575.00","2728897.00","1478522.00","4207419.00","5278698.00","84646.00","437724.00","-326406.00","0.00","5474662.00","--","--","298494.00","5773156.00","0.00","0.00","0.00","10.37"
"114/03/26","104","1","1312","國喬","7100762.00","17287136.00","24387898.00","3654415.00","2479197.00","6133612.00","9266203.00","112393.00","5704404.00","1025120.00","-199604.00","15908516.00","--","--","2345770.00","18254286.00","0.00","0.00","8254473.00","17.32"
"114/03/26","104","1","1313","聯成","23832859.00","18606747.00","42439606.00","15616106.00","8112786.00","23728892.00","11652110.00","1110928.00","4344929.00","1693181.00","-90434.00","18710714.00","--","--","0.00","18710714.00","0.00","5073000.00","8305000.00","16.17"
"114/03/26","104","1","1314","中石化","17028835.00","59138240.00","76167075.00","4508233.00","18092383.00","22600616.00","23199897.00","0.00","31189345.00","-1050947.00","--","53338295.00","--","--","228164.00","53566459.00","0.00","0.00","0.00","22.99"
"114/03/26","104","1","1315","達新","4037508.00","5259334.00","9296842.00","922396.00","1092242.00","2014638.00","1980000.00","62647.00","3635966.00","1722989.00","-118879.00","7282723.00","0.00","--","-519.00","7282204.00","0.00","0.00","7137000.00","38.16"
"114/03/26","104","1","1316","上曜","2995784.00","670131.00","3665915.00","875612.00","813007.00","1688619.00","1699079.00","117878.00","-517045.00","10822.00","-19632.00","1291102.00","0.00","--","686194.00","1977296.00","0.00","0.00","8199000.00","7.98"
"114/03/26","104","1","1319","東陽","10589549.00","24194894.00","34784443.00","9215981.00","7277864.00","16493845.00","5914771.00","4149257.00","6969547.00","254273.00","--","17287848.00","--","--","1002750.00","18290598.00","0.00","0.00","0.00","29.23"
"114/03/26","104","1","1321","大洋","1576194.00","8515425.00","10091619.00","1162431.00","3968032.00","5130463.00","2272283.00","7792.00","2709905.00","7365.00","-36189.00","4961156.00","--","--","--","4961156.00","0.00","0.00","6542716.00","22.48"
"114/03/26","104","1","1323","永裕","2137656.00","1624623.00","3762279.00","609930.00","1179158.00","1789088.00","912745.00","55113.00","714376.00","62340.00","-2813.00","1741761.00","--","--","231430.00","1973191.00","0.00","0.00","1200017.00","19.34"
"114/03/26","104","1","1324","地球","897548.00","411073.00","1308621.00","257071.00","88503.00","345574.00","751219.00","0.00","195453.00","16375.00","0.00","963047.00","--","--","0.00","963047.00","0.00","0.00","0.00","12.82"
"114/03/26","104","1","1325","恆大","1060131.00","1019337.00","2079468.00","59465.00","95171.00","154636.00","1003308.00","2184.00","801893.00","15368.00","--","1822753.00","--","--","102079.00","1924832.00","0.00","0.00","0.00","18.17"
"114/03/26","104","1","1326","台化","227113141.00","303287655.00","530400796.00","94206673.00","108922897.00","203129570.00","58611863.00","8668561.00","120155488.00","94084937.00","-333494.00","281187355.00","--","--","46083871.00","327271226.00","0.00","0.00","16871610.00","48.11"
"114/03/26","104","1","1337","再生-KY","3644581.00","7640882.00","11285463.00","1137921.00","71707.00","1209628.00","2498291.00","2948722.00","3892094.00","736728.00","--","10075835.00","--","--","--","10075835.00","--","0.00","0.00","40.33"
"114/03/26","104","1","1338","廣華-KY","5285033.00","3212076.00","8497109.00","2178070.00","70590.00","2248660.00","838400.00","2787090.00","2194012.00","372327.00","0.00","6191829.00","--","--","56620.00","6248449.00","0.00","0.00","0.00","73.85"
"114/03/26","104","1","1339","昭輝","1314750.00","2539889.00","3854639.00","500778.00","473443.00","974221.00","759259.00","1191890.00","929520.00","-251.00","--","--","--","--","--","2880418.00","0.00","0.00","0.00","37.94"
"114/03/26","104","1","1340","勝悅-KY","5381179.00","305667.00","5686846.00","509104.00","7301.00","516405.00","883794.00","2540814.00","1484795.00","261038.00","--","5170441.00","--","--","--","5170441.00","--","0.00","0.00","58.50"
"114/03/26","104","1","1402","遠東新","105349507.00","404804549.00","510154056.00","92503586.00","148810910.00","241314496.00","52479168.00","3666948.00","139335915.00","7589657.00","-25063.00","203046625.00","--","--","65792935.00","268839560.00","--","0.00","764000.00","38.70"
"114/03/26","104","1","1410","南染","692290.00","842055.00","1534345.00","101070.00","194855.00","295925.00","720000.00","21784.00","454886.00","-9078.00","--","1187592.00","--","--","50828.00","1238420.00","0.00","0.00","0.00","16.49"
"114/03/26","104","1","1413","宏洲","989635.00","1722705.00","2712340.00","1718725.00","381506.00","2100231.00","1021124.00","0.00","-398498.00","0.00","-15040.00","607586.00","--","--","4523.00","612109.00","0.00","0.00","1258770.00","6.02"
"114/03/26","104","1","1414","東和","896128.00","3956881.00","4853009.00","901807.00","802342.00","1704149.00","2200000.00","0.00","1051202.00","-102342.00","0.00","--","--","--","--","3148860.00","0.00","0.00","0.00","14.31"
"114/03/26","104","1","1416","廣豐","4557520.00","6034898.00","10592418.00","3450107.00","1595106.00","5045213.00","2933557.00","866124.00","1342016.00","407804.00","-19221.00","5530280.00","--","--","16925.00","5547205.00","0.00","0.00","3844120.00","19.10"
"114/03/26","104","1","1417","嘉裕","3816826.00","2704565.00","6521391.00","1555352.00","246170.00","1801522.00","3798837.00","--","210848.00","710184.00","--","4719869.00","--","--","--","4719869.00","--","0.00","0.00","12.42"
"114/03/26","104","1","1418","東華","617762.00","1449236.00","2066998.00","1068408.00","355762.00","1424170.00","1319276.00","8005.00","-525083.00","-39455.00","-120194.00","642549.00","--","--","279.00","642828.00","0.00","0.00","10633000.00","5.30"
"114/03/26","104","1","1419","新紡","1864270.00","9764286.00","11628556.00","3424006.00","833536.00","4257542.00","3000413.00","1358.00","1830522.00","2484416.00","-13174.00","7303535.00","0.00","--","67479.00","7371014.00","0.00","0.00","803829.00","24.41"
"114/03/26","104","1","1423","利華","1348014.00","1501512.00","2849526.00","24001.00","236283.00","260284.00","1750000.00","118304.00","406674.00","329863.00","-15599.00","--","--","--","--","2589242.00","--","0.00","2000000.00","14.97"
"114/03/26","104","1","1432","大魯閣","1741416.00","2354409.00","4095825.00","925095.00","831827.00","1756922.00","1645123.00","509365.00","-69676.00","120997.00","-70174.00","2135635.00","--","--","203268.00","2338903.00","0.00","0.00","3500000.00","13.26"
"114/03/26","104","1","1434","福懋","22169068.00","53486693.00","75655761.00","10552123.00","12415483.00","22967606.00","16846646.00","38348.00","11955070.00","20554175.00","-22723.00","49371516.00","--","--","3316639.00","52688155.00","0.00","0.00","2613228.00","29.35"
"114/03/26","104","1","1435","中福","392553.00","726175.00","1118728.00","4793.00","167953.00","172746.00","1397801.00","1302.00","-293830.00","0.00","-159275.00","945998.00","--","--","-16.00","945982.00","--","0.00","14424000.00","7.55"
"114/03/26","104","1","1436","華友聯","5639125.00","369505.00","6008630.00","3101411.00","546991.00","3648402.00","600000.00","245201.00","1515027.00","0.00","--","--","--","--","--","2360228.00","0.00","0.00","0.00","39.34"
"114/03/26","104","1","1437","勤益控","1181424.00","8202534.00","9383958.00","586175.00","4082149.00","4668324.00","2026899.00","314688.00","2201161.00","186497.00","-48708.00","4680537.00","--","--","35097.00","4715634.00","0.00","0.00","2303000.00","23.36"
"114/03/26","104","1","1438","三地開發","621053.00","1113.00","622166.00","1941.00","68800.00","70741.00","1024115.00","81330.00","-554020.00","0.00","0.00","--","--","--","--","551425.00","0.00","0.00","0.00","5.38"
"114/03/26","104","1","1439","雋揚","1420175.00","770110.00","2190285.00","10491.00","149850.00","160341.00","920000.00","8686.00","1101258.00","0.00","0.00","--","--","--","--","2029944.00","0.00","0.00","0.00","22.06"
"114/03/26","104","1","1440","南紡","8513453.00","32943622.00","41457075.00","7857871.00","7924721.00","15782592.00","16404118.00","75112.00","7402379.00","1235085.00","--","25116694.00","--","--","557789.00","25674483.00","0.00","0.00","0.00","15.31"
"114/03/26","104","1","1441","大東","872259.00","2033922.00","2906181.00","958422.00","1101006.00","2059428.00","897991.00","16841.00","-82485.00","14406.00","0.00","846753.00","--","--","--","846753.00","0.00","0.00","0.00","9.43"
"114/03/26","104","1","1442","名軒","13862774.00","387739.00","14250513.00","5172542.00","4654662.00","9827204.00","2230484.00","651559.00","1534902.00","6364.00","--","4423309.00","--","--","0.00","4423309.00","0.00","0.00","0.00","19.83"
"114/03/26","104","1","1443","立益物流","1748522.00","3088884.00","4837406.00","2987508.00","741400.00","3728908.00","1353430.00","701.00","-8721.00","-69359.00","-9056.00","1266995.00","--","--","-158497.00","1108498.00","0.00","0.00","460610.00","9.39"
"114/03/26","104","1","1444","力麗","5164437.00","11196243.00","16360680.00","3298211.00","750914.00","4049125.00","9573029.00","15319.00","1739507.00","180676.00","-48653.00","11459878.00","--","--","851677.00","12311555.00","0.00","0.00","12583028.00","12.13"
"114/03/26","104","1","1445","大宇","1090358.00","1155132.00","2245490.00","121963.00","214962.00","336925.00","1386670.00","172064.00","310577.00","39254.00","0.00","1908565.00","--","--","0.00","1908565.00","0.00","0.00","0.00","13.76"
"114/03/26","104","1","1446","宏和","3074542.00","743484.00","3818026.00","307999.00","1623094.00","1931093.00","1386215.00","297632.00","218942.00","-15856.00","0.00","1886933.00","--","--","0.00","1886933.00","0.00","0.00","0.00","13.61"
"114/03/26","104","1","1447","力鵬","10365498.00","9739690.00","20105188.00","8422099.00","1097458.00","9519557.00","8709402.00","61480.00","1815083.00","-319610.00","-357738.00","9908617.00","--","--","677014.00","10585631.00","--","0.00","78998198.00","12.51"
"114/03/26","104","1","1449","佳和","2027379.00","2973856.00","5001235.00","1702652.00","1974808.00","3677460.00","1200000.00","40224.00","-514700.00","435891.00","-80515.00","1080900.00","--","--","242875.00","1323775.00","--","0.00","1802665.00","9.14"
"114/03/26","104","1","1451","年興","7616970.00","6037033.00","13654003.00","1999811.00","1601865.00","3601676.00","4000000.00","410589.00","5569453.00","3647.00","--","9983689.00","--","--","68638.00","10052327.00","--","0.00","0.00","24.96"
"114/03/26","104","1","1452","宏益","1532477.00","993483.00","2525960.00","143892.00","59231.00","203123.00","1326414.00","151652.00","814297.00","30474.00","--","--","--","--","--","2322837.00","0.00","0.00","0.00","17.51"
"114/03/26","104","1","1453","大將","909346.00","413956.00","1323302.00","325855.00","54910.00","380765.00","879164.00","2762.00","46363.00","1554.00","0.00","929843.00","--","--","12694.00","942537.00","--","0.00","0.00","10.58"
"114/03/26","104","1","1454","台富","1168962.00","985733.00","2154695.00","369003.00","130450.00","499453.00","1403098.00","58006.00","170278.00","115475.00","-91622.00","1655235.00","0.00","--","7.00","1655242.00","--","0.00","9175103.00","12.62"
"114/03/26","104","1","1455","集盛","5056643.00","7403524.00","12460167.00","3217933.00","1841667.00","5059600.00","6117634.00","360356.00","922203.00","374.00","--","7400567.00","--","--","--","7400567.00","--","0.00","0.00","12.10"
"114/03/26","104","1","1456","怡華","2295373.00","2055490.00","4350863.00","1654860.00","1746354.00","3401214.00","2130000.00","23093.00","-1224989.00","21545.00","--","949649.00","--","--","--","949649.00","0.00","0.00","0.00","4.46"
"114/03/26","104","1","1457","宜進","1682855.00","6647121.00","8329976.00","1176464.00","2482544.00","3659008.00","3351640.00","296293.00","265563.00","127041.00","-282628.00","3757909.00","--","--","913059.00","4670968.00","0.00","0.00","72362089.00","14.30"
"114/03/26","104","1","1459","聯發","3145315.00","4259065.00","7404380.00","2010900.00","1331195.00","3342095.00","3586289.00","287995.00","848188.00","-279531.00","-526664.00","3916277.00","--","--","146008.00","4062285.00","0.00","0.00","43081531.00","12.41"
"114/03/26","104","1","1460","宏遠","5243958.00","3675237.00","8919195.00","2838129.00","1203158.00","4041287.00","4711891.00","38445.00","543798.00","49442.00","-465679.00","4877897.00","--","--","11.00","4877908.00","0.00","0.00","33706585.00","11.15"
"114/03/26","104","1","1463","強盛新","2243692.00","1056641.00","3300333.00","1133439.00","119364.00","1252803.00","1732684.00","143827.00","197538.00","1039.00","-124693.00","1950395.00","--","--","97135.00","2047530.00","0.00","0.00","11447523.00","12.05"
"114/03/26","104","1","1464","得力","4120810.00","3462051.00","7582861.00","3412028.00","355193.00","3767221.00","2168960.00","150923.00","980503.00","44628.00","-34003.00","3311011.00","--","--","504629.00","3815640.00","--","0.00","2787170.00","15.46"
"114/03/26","104","1","1465","偉全","2032622.00","841195.00","2873817.00","372705.00","64791.00","437496.00","1036073.00","353488.00","379696.00","74251.00","--","1843508.00","--","--","592813.00","2436321.00","--","0.00","0.00","17.79"
"114/03/26","104","1","1466","聚隆","1986675.00","1524666.00","3511341.00","925258.00","684499.00","1609757.00","1111573.00","451883.00","338128.00","0.00","0.00","1901584.00","--","--","0.00","1901584.00","0.00","0.00","0.00","17.11"
"114/03/26","104","1","1467","南緯","4064713.00","2851704.00","6916417.00","2096976.00","1803239.00","3900215.00","2102622.00","137442.00","461509.00","-256632.00","--","2444941.00","--","--","571261.00","3016202.00","0.00","0.00","0.00","11.63"
"114/03/26","104","1","1468","昶和","1202209.00","1232924.00","2435133.00","519390.00","686572.00","1205962.00","1604053.00","26753.00","-525353.00","72511.00","--","1177964.00","--","--","51207.00","1229171.00","--","0.00","0.00","7.34"
"114/03/26","104","1","1470","大統新創","699086.00","424139.00","1123225.00","136694.00","15693.00","152387.00","857670.00","6918.00","121449.00","-15199.00","--","--","--","--","--","970838.00","0.00","0.00","0.00","11.32"
"114/03/26","104","1","1471","首利","1657875.00","1634161.00","3292036.00","718224.00","2957.00","721181.00","2014677.00","450239.00","-132591.00","238530.00","--","2570855.00","--","--","--","2570855.00","0.00","0.00","0.00","12.76"
"114/03/26","104","1","1472","三洋實業","410747.00","638938.00","1049685.00","671863.00","56647.00","728510.00","716500.00","0.00","-355068.00","-824.00","-226.00","360382.00","--","--","-39207.00","321175.00","--","0.00","8200.00","5.03"
"114/03/26","104","1","1473","台南","5753918.00","2402112.00","8156030.00","3077483.00","563113.00","3640596.00","1466450.00","832662.00","1795007.00","89569.00","-54898.00","4128790.00","--","--","386644.00","4515434.00","0.00","0.00","1902000.00","28.52"
"114/03/26","104","1","1474","弘裕","2157590.00","1447489.00","3605079.00","1621664.00","181926.00","1803590.00","1298970.00","5887.00","480507.00","16125.00","0.00","1801489.00","--","--","--","1801489.00","0.00","0.00","0.00","13.87"
"114/03/26","104","1","1475","業旺","136301.00","431276.00","567577.00","351516.00","16252.00","367768.00","525168.00","188125.00","-418980.00","-5237.00","--","289076.00","--","--","-89267.00","199809.00","0.00","0.00","0.00","5.50"
"114/03/26","104","1","1476","儒鴻","9027333.00","6775975.00","15803308.00","5306789.00","350512.00","5657301.00","2609874.00","1152238.00","6281568.00","102327.00","--","10146007.00","--","--","0.00","10146007.00","0.00","0.00","0.00","38.88"
"114/03/26","104","1","1477","聚陽","7970513.00","4855146.00","12825659.00","3814135.00","214170.00","4028305.00","1913097.00","3407436.00","3340912.00","118734.00","--","8780179.00","0.00","--","17175.00","8797354.00","0.00","0.00","0.00","45.90"
"114/03/26","104","1","1503","士電","12418918.00","21945449.00","34364367.00","8305033.00","4193041.00","12498074.00","5209722.00","2579864.00","13280523.00","331593.00","--","21401702.00","--","--","464591.00","21866293.00","--","0.00","0.00","41.08"
"114/03/26","104","1","1504","東元","41407615.00","37707165.00","79114780.00","16267582.00","10122385.00","26389967.00","20026929.00","7607903.00","19181697.00","2161057.00","-321563.00","48656023.00","--","--","4068790.00","52724813.00","0.00","0.00","22443022.00","24.57"
"114/03/26","104","1","1506","正道","1429515.00","1241821.00","2671336.00","380775.00","924368.00","1305143.00","1222516.00","117761.00","-54394.00","-24686.00","--","1261197.00","--","--","104996.00","1366193.00","--","0.00","0.00","10.32"
"114/03/26","104","1","1512","瑞利","2627058.00","2891152.00","5518210.00","2510764.00","1250038.00","3760802.00","1818025.00","0.00","-220547.00","79038.00","--","1676516.00","--","--","80892.00","1757408.00","--","0.00","0.00","9.22"
