出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","108","3","2816","旺旺保","610503.00","-49334.00","-204193.00","4176.00","361152.00","2272302.00","2633454.00"
"114/03/26","108","3","2832","台產","--","--","--","--","--","--","--"
"114/03/26","108","3","2850","新產","--","--","--","--","--","--","--"
"114/03/26","108","3","2851","中再保","--","--","--","--","--","--","--"
"114/03/26","108","3","2852","第一保","--","--","--","--","--","--","--"
"114/03/26","108","3","2867","三商壽","--","--","--","--","--","--","--"
